Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,App,47,33,14,
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,Adm,28,21,7,
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,Enr,17,13,4,
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,App,207,102,105,
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Adm,138,70,68,
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Enr,75,42,33,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,App,38,26,12,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,Adm,19,15,4,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,Enr,9,7,,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,App,85,56,29,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Adm,63,46,17,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Enr,35,27,8,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,App,54,33,21,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Adm,43,26,17,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Enr,27,17,10,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,App,52,37,15,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Adm,37,28,9,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Enr,22,17,5,
ALLIANCE JUDY BURTON TECH ACAD54088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,App,59,38,21,
ALLIANCE JUDY BURTON TECH ACAD54088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,Adm,38,30,8,
ALLIANCE JUDY BURTON TECH ACAD54088,ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,Enr,17,12,5,
ALLIANCE LEICHTMAN-LEVINE ESHS54360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,App,62,36,26,
ALLIANCE LEICHTMAN-LEVINE ESHS54360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,Adm,42,25,17,
ALLIANCE LEICHTMAN-LEVINE ESHS54360,ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,Enr,19,12,7,
ALLIANCE M&E STERN MATH SCI SCH54163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,App,63,42,21,
ALLIANCE M&E STERN MATH SCI SCH54163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,Adm,41,26,15,
ALLIANCE M&E STERN MATH SCI SCH54163,ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,Enr,19,11,8,
ALLIANCE MORGAN MCKINZIE HS54346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,App,27,17,10,
ALLIANCE MORGAN MCKINZIE HS54346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,Adm,16,12,4,
ALLIANCE MORGAN MCKINZIE HS54346,ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,Enr,11,8,3,
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,App,62,43,19,
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Adm,52,36,16,
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Enr,33,23,10,
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,App,58,31,27,
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Adm,43,23,20,
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Enr,16,11,5,
ALLIANCE PIERA BARBAGLIA HSA54361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,App,29,19,10,
ALLIANCE PIERA BARBAGLIA HSA54361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,Adm,17,13,4,
ALLIANCE PIERA BARBAGLIA HSA54361,ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,Enr,10,7,3,
ALLIANCE RENEE & MEYER LUSKIN51663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,App,31,24,7,
ALLIANCE RENEE & MEYER LUSKIN51663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,Adm,13,12,,
