Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,App,37,20,16,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Adm,19,9,10,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Enr,5,,3,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,App,68,34,34,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Adm,32,16,16,
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Enr,5,,3,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,App,15,10,,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Adm,8,6,,
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Enr,4,,,
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,App,6,,5,
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,Adm,3,,3,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,59,32,27,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,38,21,17,
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Enr,15,7,8,
CAL COAST ACADEMY53836,CAL COAST ACADEMY,San Diego,San Diego,App,6,,,
CAL COAST ACADEMY53836,CAL COAST ACADEMY,San Diego,San Diego,Adm,4,,,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,App,42,17,25,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Adm,27,10,17,
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Enr,11,5,6,
CALIFORNIA LUTHERAN HIGH SCHL53566,CALIFORNIA LUTHERAN HIGH SCHL,Wildomar,Riverside,App,6,,,
CALIFORNIA LUTHERAN HIGH SCHL53566,CALIFORNIA LUTHERAN HIGH SCHL,Wildomar,Riverside,Adm,5,3,,
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,Adm,3,,,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,App,12,9,,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Adm,9,7,,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Enr,4,3,,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,App,18,9,9,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Adm,10,4,6,
CALVARY CHAPEL HIGH SCHOOL53251,CALVARY CHAPEL HIGH SCHOOL,Santa Ana,Orange,Enr,6,,4,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,App,5,,,
CALVARY MURRIETA CHRISTIAN SCH52104,CALVARY MURRIETA CHRISTIAN SCH,Murrieta,Riverside,Adm,3,,,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,App,10,5,5,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,Adm,8,5,3,
CALVIN CHRISTIAN HIGH SCHOOL50876,CALVIN CHRISTIAN HIGH SCHOOL,Escondido,San Diego,Enr,4,3,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,Adm,3,,,
CAMBRIAN ACADEMY54297,CAMBRIAN ACADEMY,San Jose,Santa Clara,Enr,3,,,
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,App,10,5,5,
