Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Enr,4,,3
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,App,18,7,11
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Adm,13,5,8
BRETHREN CHRISTIAN HIGH SCHOOL52363,BRETHREN CHRISTIAN HIGH SCHOOL,Huntington Beach,Orange,Enr,5,,3
BRIDGES ACADEMY50859,BRIDGES ACADEMY,Studio City,Los Angeles,Adm,3,,3
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,App,52,24,28
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Adm,31,14,17
BUCKLEY SCHOOL51628,BUCKLEY SCHOOL,Sherman Oaks,Los Angeles,Enr,10,6,4
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,App,47,19,28
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Adm,37,17,20
CALIFORNIA CROSSPOINT HIGH SCHOOL52191,CALIFORNIA CROSSPOINT HIGH SCHOOL,Hayward,Alameda,Enr,24,10,14
CALIFORNIA LUTHERAN HIGH SCHL53566,CALIFORNIA LUTHERAN HIGH SCHL,Wildomar,Riverside,App,5,,
CALIFORNIA LUTHERAN HIGH SCHL53566,CALIFORNIA LUTHERAN HIGH SCHL,Wildomar,Riverside,Adm,4,,
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,App,8,,7
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,Adm,7,,6
CALIFORNIA UNIVERSITY PREP SCH52941,CALIFORNIA UNIVERSITY PREP SCH,Rowland Heights,Los Angeles,Enr,3,,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,App,11,8,
CALVARY CHAPEL HIGH SCHOOL50768,CALVARY CHAPEL HIGH SCHOOL,Downey,Los Angeles,Adm,8,5,
