Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,App,8,,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Adm,5,3,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Enr,3,,,
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App,348,177,170,
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm,241,116,125,
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enr,119,56,63,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App,23,16,7,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm,13,8,5,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Enr,5,,3,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,App,86,47,39,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Adm,55,34,21,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Enr,29,17,12,
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,App,258,123,133,
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm,200,102,97,
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enr,135,68,67,
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,App,62,31,31,
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,Adm,39,19,20,
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,Enr,22,9,13,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,App,23,13,10,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Adm,12,7,5,
AMOS ALONZO STAGG HIGH SCHOOL53442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Enr,3,,3,
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App,82,50,32,
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm,40,28,12,
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Enr,23,15,8,
